source,target,source_scenario,target_scenario,source_valuation,source_price,source_upside,target_valuation,target_price,target_upside,decision,score
گکوثر,کگاز,خوشبینانه,بدبینانه,2179163.4684104286,2237,97314.54932545501,1883540.0018143454,28350,6543.880076946544,نگهداری,-90770.66924850846
گکوثر,کگاز,خنثی,خوشبینانه,1635666.628093287,2237,73018.75852003966,1894340.5236672417,28350,6581.97715579274,نگهداری,-66436.78136424691
گکوثر,کگاز,خنثی,خنثی,1635666.628093287,2237,73018.75852003966,1887525.742748277,28350,6557.939127859883,نگهداری,-66460.81939217978
گکوثر,کگاز,خنثی,بدبینانه,1635666.628093287,2237,73018.75852003966,1883540.0018143454,28350,6543.880076946544,نگهداری,-66474.87844309311
گکوثر,کگاز,بدبینانه,خوشبینانه,1316888.1251443417,2237,58768.49017185256,1894340.5236672417,28350,6581.97715579274,نگهداری,-52186.51301605982
گکوثر,کگاز,بدبینانه,خنثی,1316888.1251443417,2237,58768.49017185256,1887525.742748277,28350,6557.939127859883,نگهداری,-52210.55104399267
گکوثر,کگاز,بدبینانه,بدبینانه,1316888.1251443417,2237,58768.49017185256,1883540.0018143454,28350,6543.880076946544,نگهداری,-52224.61009490601
گکوثر,تلیسه,خوشبینانه,خوشبینانه,2179163.4684104286,2237,97314.54932545501,1393739.1101969688,4320,32162.479402707613,نگهداری,-65152.069922747396
گکوثر,تلیسه,خوشبینانه,خنثی,2179163.4684104286,2237,97314.54932545501,1392861.1884179153,4320,32142.157139303596,نگهداری,-65172.39218615141
گکوثر,تلیسه,خوشبینانه,بدبینانه,2179163.4684104286,2237,97314.54932545501,1392347.7348559161,4320,32130.27164018324,نگهداری,-65184.277685271765
گکوثر,تلیسه,خنثی,خوشبینانه,1635666.628093287,2237,73018.75852003966,1393739.1101969688,4320,32162.479402707613,نگهداری,-40856.279117332044
گکوثر,تلیسه,خنثی,خنثی,1635666.628093287,2237,73018.75852003966,1392861.1884179153,4320,32142.157139303596,نگهداری,-40876.60138073606
گکوثر,تلیسه,خنثی,بدبینانه,1635666.628093287,2237,73018.75852003966,1392347.7348559161,4320,32130.27164018324,نگهداری,-40888.48687985641
گکوثر,تلیسه,بدبینانه,خوشبینانه,1316888.1251443417,2237,58768.49017185256,1393739.1101969688,4320,32162.479402707613,نگهداری,-26606.010769144945
گکوثر,تلیسه,بدبینانه,خنثی,1316888.1251443417,2237,58768.49017185256,1392861.1884179153,4320,32142.157139303596,نگهداری,-26626.333032548962
گکوثر,تلیسه,بدبینانه,بدبینانه,1316888.1251443417,2237,58768.49017185256,1392347.7348559161,4320,32130.27164018324,نگهداری,-26638.218531669318
